Artist;Death;Family;Friends;Home;Money;Relig;School;Sexual
Jayh;0.00012977743170462656;0.0014924404646032056;0.004801764973071183;0.0011031081694893258;0.0020115501914217122;0.0006488871585231327;0.00045422101096619295;0.0028551034975017845
Volumia!;0.0005649717514124294;0.001694915254237288;0.0021468926553672315;0.0014689265536723165;0.0010169491525423731;0.00045197740112994344;0.00022598870056497172;0.006214689265536724
JanSmit&Broederliefde;0.0016666666666666668;0.0033333333333333327;0.0033333333333333327;0.0;0.005;0.0016666666666666668;0.0016666666666666668;0.0016666666666666668
PauldeLeeuw;0.0007838160644968648;0.003023290534487907;0.0014183338309943267;0.0025753956404896985;0.0017169304269931322;0.0017915795759928337;0.0010450880859958196;0.003695132875485219
Yes-R;0.0008400336013440537;0.006200248009920397;0.0014800592023680947;0.0010800432017280689;0.003080123204928197;0.0008000320012800513;0.0007600304012160486;0.0022400896035841434
Clouseau;0.001195428680724908;0.0017692344474728636;0.00023908573614498158;0.002103954478075838;0.003299383158800746;0.003729737483861713;0.0006694400612059485;0.00454262898675465
DavinaMichelle;0.0;0.0;0.0024630541871921183;0.0024630541871921183;0.0024630541871921183;0.0;0.0;0.007389162561576354
ReneFroger;0.0;0.002595846645367412;0.005990415335463258;0.004592651757188497;0.0017971246006389773;0.0009984025559105429;0.0;0.007787539936102236
Isookschitterend!;0.0;0.001669449081803005;0.0;0.0041736227045075115;0.0;0.0008347245409015025;0.0008347245409015025;0.0025041736227045075
AliB;0.0005151983513652757;0.003670788253477589;0.0007405976300875837;0.0015133951571354972;0.004379185986604843;0.000708397733127254;0.0009337970118495619;0.001062596599690881
CorryKonings;7.395902669920864e-05;0.004215664521854893;0.001848975667480216;0.001848975667480216;0.0017010576140817984;0.0008875083203905037;0.0003697951334960432;0.006434435322831151
Frenna;5.157297576070139e-05;0.002733367715317174;0.0018050541516245488;0.00041258380608561113;0.003042805569881382;0.0015471892728210418;0.0007220216606498196;0.0010314595152140279
KennyB;0.00014900908955446285;0.0077484726568320655;0.003278199970198182;0.00029801817910892565;0.0004470272686633885;0.001639099985099091;0.00014900908955446285;0.001788109074653554
DeSjonnies;0.0009696969696969696;0.005575757575757576;0.0026666666666666666;0.0019393939393939393;0.001696969696969697;0.0;0.0;0.002424242424242424
PaterMoeskroen;0.0011823126034523528;0.0021872783163868533;0.0012414282336249704;0.003133128399148735;0.0017734689051785294;0.002601087727595176;0.001300543863797588;0.0022463939465594703
Sef;0.00020407122085607882;0.0017346053772766695;0.0008162848834243152;0.000969338299066374;0.002856997091985103;0.0009183204938523543;0.0007652670782102954;0.003928371001479515
StefBos;0.0020352139341158646;0.0034078000757288905;0.0006626277925028399;0.0033131389625141987;0.003360469519121545;0.004827716773949262;0.0011359333585762971;0.0034078000757288905
LangeFrans;0.0011599210266535044;0.005009871668311946;0.0028381046396841066;0.0013820335636722605;0.002936821322803554;0.0012092793682132279;0.0017769002961500497;0.0023938795656465945
DeKraaien;0.00011153245594467994;0.002230649118893598;0.0003345973678340397;0.003345973678340397;0.003345973678340397;0.0003345973678340397;0.0005576622797233995;0.0010037921035021189
WillekeAlberti;0.0;0.005050505050505051;0.006944444444444444;0.002525252525252525;0.0031565656565656565;0.0006313131313131314;0.0018939393939393942;0.0037878787878787884
Extince;0.00046428334549313525;0.006102009683624063;0.0005306095377064404;0.0015255024209060155;0.0013928500364794056;0.0006632619221330503;0.0012601976520527954;0.0007295881143463554
DoeMaar;0.0009251700680272107;0.008816326530612244;0.0005986394557823129;0.0034285714285714284;0.0009795918367346938;0.0005442176870748299;0.0017959183673469388;0.0021224489795918368
RobDeNijs;0.0006848376934666484;0.005706980778888737;0.0014609870793955164;0.00424599369949322;0.002328448157786605;0.00429164954572433;0.0012327078482399672;0.004109026160799891
MarcoBorsato;0.0002906131938390003;0.00038748425845200037;0.0007749685169040007;0.002954567470696503;0.0018405502276470016;0.0015983725661145017;0.0002906131938390003;0.0054247796183280045
Nick&Simon;0.0002549812406658653;0.001712016901613667;0.0004735365898080356;0.0015298874439951915;0.000874221396568681;0.0010563508541871565;0.0007649437219975957;0.0030597748879903834
KraantjePappie;0.0009654906071556649;0.0065653361286585185;0.0014344431877741305;0.001710297646961463;0.0048274530357783245;0.0012413450663429975;0.000496538026537199;0.00336542440208546
HetGoedeDoel;0.0009390553103577801;0.003662315710395342;0.004037937834538454;0.004037937834538454;0.0035684101793595647;0.0012207719034651142;0.000657338717250446;0.0025354493379660067
Nielson;0.00020256583389601619;0.0011478730587440918;0.0008777852802160702;0.004253882511816341;0.0006752194463200541;0.00040513166779203237;0.00040513166779203237;0.0017555705604321405
Hakkûhbar;0.0;0.009957325746799429;0.0;0.002844950213371266;0.002370791844476055;0.0;0.0018966334755808442;0.0
Raymtzer;0.0;0.003305785123966942;0.003305785123966942;0.001652892561983471;0.001652892561983471;0.001652892561983471;0.003305785123966942;0.0
DJMadman;0.003210272873194221;0.0;0.0;0.0016051364365971107;0.0;0.0;0.0;0.0016051364365971107
FreekdeJonge;0.01022179363548698;0.013500482160077144;0.0013500482160077145;0.0013500482160077145;0.002700096432015429;0.004050144648023143;0.0005785920925747347;0.0015429122468659595
RonnieFlex;0.00046549517048760614;0.002327475852438031;0.0016001396485511466;0.0017456068893285232;0.002705690678459211;0.0018910741301059;0.0011346444780635401;0.0011346444780635401
MarianneWeber;0.0;0.0022837184309511017;0.001477700161203654;0.0018807092960773774;0.003492745835572273;0.006985491671144546;0.0004030091348737238;0.007925846319183236
K3;0.00016199578810950914;0.002105945245423619;0.0012554673578486961;0.0010529726227118095;0.0006074842054106592;0.0010934715697391868;0.0008909768346023004;0.003725903126518711
Josylvio;0.0009142160597287826;0.007100411397226878;0.0017370105134846866;0.0007923205850982782;0.003900655188176139;0.0004875818985220174;0.001797958250799939;0.0007618467164406523
OmeHenk;0.0;0.0005534034311012729;0.0011068068622025458;0.002213613724405091;0.004427227448810182;0.0005534034311012729;0.0;0.0005534034311012729
DeDijk;0.0012515644555694619;0.0037065562722634064;0.0011552902666795034;0.0014441128333493789;0.0012515644555694619;0.0023587176278039856;0.00014441128333493792;0.0015403870222393376
Brainpower;0.0009438009438009437;0.0031746031746031746;0.0018876018876018879;0.0008866008866008868;0.002345202345202345;0.0014586014586014586;0.0010582010582010585;0.0018876018876018879
AcdaenDeMunnik;0.0014186172654066008;0.0047148162056160564;0.0017941336003671714;0.0032544749029916136;0.0015437893770601245;0.0026286143447239955;0.00104310093044603;0.002419994158634789
OsdorpPosse;0.0022803223904069195;0.0020051110674267738;0.0013760566149007276;0.001100845291920582;0.005071751523491252;0.001533320228032239;0.0018085315510123843;0.004599960684096717
AndréVanDuin;0.00034233679093492183;0.004929649789462874;0.0032864331929752487;0.004655780356714936;0.0026359932901988976;0.00044503782821539835;0.00044503782821539835;0.0006162062236828592
Esko;0.00035684548590460334;0.007850600689901274;0.002973712382538361;0.0014273819436184134;0.002378969906030689;0.00035684548590460334;0.0009515879624122756;0.0017842274295230163
Jiskefet;0.0011668611435239206;0.003500583430571762;0.0011668611435239206;0.0;0.002333722287047841;0.021003500583430573;0.0011668611435239206;0.008168028004667444
HenkWestbroek;0.0009544716999140976;0.004581464159587668;0.0027679679297508827;0.00410422830963062;0.005345041519518946;0.0027679679297508827;0.0006681301899398683;0.004295122649613439
MaaikeOuboter;0.00017510068289266332;0.0008755034144633164;0.00017510068289266332;0.004027315706531256;0.0015759061460339696;0.0005253020486779899;0.0008755034144633164;0.0022763088776046225
RuthJacott;0.0005724917704308;0.00293402032345785;0.0005724917704308;0.00093029912695005;0.0011449835408616;0.00093029912695005;0.0005724917704308;0.00508086446257335
Henkwijngaard;0.0008557980316645273;0.002781343602909713;0.001069747539580659;0.011125374411638855;0.003851091142490373;0.00021394950791613182;0.0;0.003851091142490373
BrigitteKaandorp;0.0022425392444367772;0.0010350181128169745;0.0053475935828877;0.003105054338450923;0.0025875452820424355;0.0010350181128169745;0.0005175090564084871;0.0015525271692254615
GerardJoling;0.00013833171946327292;0.0004149951583898188;0.0008299903167796375;0.001659980633559275;0.0005533268778530917;0.0019366440724858211;0.00013833171946327292;0.011619864434914926
DeBoswachters;0.0;0.0;0.0;0.0;0.003929273084479371;0.0;0.0;0.0
SlimmeSchemer;0.0;0.0038986354775828462;0.0009746588693957113;0.0009746588693957113;0.0;0.0;0.0019493177387914231;0.0009746588693957113
JeroenVanDerBoom;0.0002409058058299205;0.002007548381916004;8.030193527664017e-05;0.0011242270938729624;0.00032120774110656067;0.0018469445113627238;0.0008030193527664018;0.0053802296635348905
GlennisGrace;0.0007465472191116088;0.002799552071668533;0.0026129152668906306;0.0003732736095558044;0.0003732736095558044;0.0016797312430011195;0.0001866368047779022;0.0018663680477790218
AndréHazes;0.0004090537223888738;0.003681483501499864;0.002863376056722116;0.00327242977911099;0.0038632851558949187;0.0010908099263703301;0.0004090537223888738;0.0021816198527406603
Lil'Kleine;0.000646151360956304;0.006623051449802115;0.005451902108068815;0.00323075680478152;0.005694208868427429;0.000646151360956304;0.0010903804216137632;0.001938454082868912
Bizzey;0.0;0.00536415835599879;0.001662133575098217;0.0018887881535207007;0.0026443034149289816;0.0006044122091266245;0.00030220610456331223;0.002417648836506497
GersPardoel;0.0005951835912462229;0.003708451606995697;0.0015566340078747368;0.003296401428440619;0.002197600952293746;0.002060250892775387;0.0007783170039373684;0.0023807343649848915
BLØF;0.0007591093117408907;0.0024291497975708503;0.0005566801619433198;0.0024291497975708503;0.0016194331983805667;0.004048582995951417;0.00020242914979757084;0.002834008097165992
Brace;0.0011328235627301047;0.005097706032285472;0.0033984706881903144;0.0;0.004814500141602946;0.001416029453412631;0.0005664117813650524;0.004248088360237893
WolterKroes;0.00016929067208396818;0.0011850347045877774;0.002708650753343491;0.0011850347045877774;0.00016929067208396818;0.0015236160487557134;0.0016929067208396814;0.008803114948366345
EvaDeRoovere;0.0009254974548819992;0.0013882461823229984;0.003239241092086997;0.003239241092086997;0.0006941230911614992;0.0009254974548819992;0.0009254974548819992;0.002545118000925497
MissMontreal;0.0;0.003601440576230492;0.0;0.0;0.0;0.0;0.0012004801920768304;0.0
DePoema's;0.0014997000599880025;0.0020995800839832034;0.0011997600479904018;0.0026994601079784047;0.002999400119976005;0.00029994001199760045;0.0017996400719856032;0.007798440311937612
DiggyDex;0.00033786637384914265;0.004561196046963426;0.00033786637384914265;0.0011825323084719993;0.0019427316496325702;0.0006757327476982853;0.0018582650561702848;0.0016048652757834276
Maan;0.0;0.0014722119985277882;0.0014722119985277882;0.001104158998895841;0.0007361059992638941;0.001104158998895841;0.001104158998895841;0.00368052999631947
Jebroer;0.002953020134228188;0.008590604026845637;0.005100671140939597;0.0031543624161073825;0.004161073825503354;0.00261744966442953;0.0028859060402684567;0.0010738255033557046
Broederliefde;0.0005545081512698237;0.005905511811023622;0.00257846290340468;0.0010258400798491738;0.004103360319396695;0.0018853277143174004;0.0011921925252301208;0.0014139957857380505
Boef;0.0004638792676892627;0.011411429985155864;0.0032471548738248392;0.002164769915883226;0.008040573973280554;0.000896833250865908;0.0018555170707570511;0.001206086095992083
Veldhuis&Kemper;0.0009275003864584944;0.0029370845571185657;0.002164167568403153;0.0012366671819446589;0.002318750966146236;0.0013912505796877415;0.0004637501932292472;0.006337919307466378
RoxeanneHazes;0.0;0.001265022137887413;0.004111321948134092;0.002530044275774826;0.0006325110689437065;0.0;0.00031625553447185326;0.0009487666034155598
DefRhymz;0.0006567425569176883;0.0037215411558669;0.0028458844133099825;0.0010945709281961473;0.004597197898423818;0.0;0.0006567425569176883;0.004159369527145359
ThePartysquad;0.00033950093362756747;0.0023765065353929717;0.0017823799015447292;0.00042437616703445936;0.0022916313019860804;0.00033950093362756747;0.00025462570022067563;0.0011033780342895943
EllentenDamme;0.0013117621337997375;0.00043725404459991256;0.0013117621337997375;0.0;0.0008745080891998251;0.00043725404459991256;0.0021862702229995625;0.004809794490599038
3js;0.0016895062887178525;0.0022526750516238033;0.0008447531443589262;0.0014079219072648769;0.0010324760653275763;0.004036042800825981;0.0005631687629059508;0.004036042800825981
DeKast;0.00022117777163395083;0.0009952999723527786;0.0006082388719933648;0.002267072159247996;0.002820016588332873;0.002820016588332873;0.0006082388719933648;0.0035388443461432132
Linda,Roos&Jessica;0.0;0.003115264797507788;0.0;0.0;0.0;0.0;0.0;0.004672897196261682
BaasB;0.0;0.004932182490752158;0.0012330456226880395;0.002055076037813399;0.0008220304151253597;0.0008220304151253597;0.0008220304151253597;0.003699136868064119
GuusMeeuwis;0.00044816922870075744;0.0018823107605431808;0.0016134092233227267;0.002957916909424999;0.002330479989243939;0.0015237753775825752;0.0004033523058306817;0.0046161430556178025
