Artist;Negemo;Posemo
Jayh;0.015054182077736681;0.016092401531373694
Volumia!;0.01807909604519774;0.03073446327683616
JanSmit&Broederliefde;0.01;0.013333333333333334
PauldeLeeuw;0.020117945655419533;0.020453866825918186
Yes-R;0.021480859234369376;0.015200608024320971
Clouseau;0.02347821928943719;0.022760962081002246
DavinaMichelle;0.027093596059113302;0.007389162561576354
ReneFroger;0.02256389776357828;0.03154952076677316
Isookschitterend!;0.015025041736227047;0.02086811352253756
AliB;0.016550747037609483;0.013491756826378156
CorryKonings;0.027956512092300864;0.027290880852007992
Frenna;0.013512119649303765;0.007787519339865909
KennyB;0.010281627179257936;0.014304872597228431
DeSjonnies;0.013818181818181818;0.02012121212121212
PaterMoeskroen;0.013833057460392529;0.015961220146606763
Sef;0.0163256976684863;0.01474414570685169
StefBos;0.02224536160545248;0.014530480878455132
LangeFrans;0.018460019743336626;0.018040473840078973
DeKraaien;0.010149453490965871;0.0227526210127147
WillekeAlberti;0.02083333333333333;0.027146464646464648
Extince;0.013862174172580751;0.01293360748159448
DoeMaar;0.02106122448979592;0.014040816326530613
RobDeNijs;0.01702963064420399;0.019038487878372826
MarcoBorsato;0.01869611547030902;0.029061319383900032
Nick&Simon;0.014788911958620187;0.015990966378902124
KraantjePappie;0.015089238917547104;0.017240903699208297
HetGoedeDoel;0.024791060193445395;0.019156728331298712
Nielson;0.012761647535449021;0.01991897366644159
Hakkûhbar;0.017543859649122806;0.01469890943575154
Raymtzer;0.021487603305785124;0.014876033057851241
DJMadman;0.03531300160513644;0.05136436597110754
FreekdeJonge;0.026229508196721308;0.020057859209257477
RonnieFlex;0.012888397532875595;0.009135342720819272
MarianneWeber;0.026732939279957013;0.0400322407307899
K3;0.01133970516766564;0.025919326097521463
Josylvio;0.011336279140636904;0.007466097821118391
OmeHenk;0.018262313226342003;0.006640841173215274
DeDijk;0.018436507172427074;0.0193029748724367
Brainpower;0.02090662090662091;0.013613613613613613
AcdaenDeMunnik;0.020736846497267074;0.02641131555889348
OsdorpPosse;0.026263023392962454;0.016434047572242972
AndréVanDuin;0.01027010372804765;0.016945671151278627
Esko;0.009991673605328892;0.006661115736885929
Jiskefet;0.01750291715285881;0.040840140023337225
HenkWestbroek;0.020902930228118736;0.02691610193757755
MaaikeOuboter;0.01698476624058834;0.017334967606373666
RuthJacott;0.0191784743094318;0.0236152855302705
Henkwijngaard;0.01433461703038083;0.013906718014548566
BrigitteKaandorp;0.02173538036915646;0.013455235466620663
GerardJoling;0.02130308479734403;0.031401300318162954
DeBoswachters;0.003929273084479371;0.0
SlimmeSchemer;0.006822612085769979;0.0029239766081871343
JeroenVanDerBoom;0.020236087689713318;0.024732996065205168
GlennisGrace;0.02500933184023889;0.021649869354236656
AndréHazes;0.0191800745386783;0.023679665484955915
Lil'Kleine;0.017607624586059283;0.015628786043130602
Bizzey;0.02138108189785434;0.015185856754306438
GersPardoel;0.02110612581265452;0.016390440435857526
BLØF;0.01589068825910931;0.02019230769230769
Brace;0.023506088926649675;0.02124044180118946
WolterKroes;0.019807008633824275;0.03064161164719824
EvaDeRoovere;0.02336881073577048;0.021749190189726982
MissMontreal;0.020408163265306117;0.0312124849939976
DePoema's;0.02609478104379124;0.024595080983803242
DiggyDex;0.014274854295126278;0.023988512543289132
Maan;0.020242914979757085;0.0180345969819654
Jebroer;0.019194630872483225;0.012885906040268456
Broederliefde;0.015304424975047134;0.009925695907729844
Boef;0.01456580900544285;0.012833993072736269
Veldhuis&Kemper;0.019013757922399132;0.024115010047920854
RoxeanneHazes;0.02024035420619861;0.021821631878557873
DefRhymz;0.01576182136602452;0.029115586690017518
ThePartysquad;0.019266677983364452;0.009421150908164998
EllentenDamme;0.021862702229995628;0.034980323567993
3js;0.0186784306363807;0.029284775671109438
DeKast;0.013160077412220072;0.01680951064418026
Linda,Roos&Jessica;0.020249221183800625;0.03582554517133956
Fluitsma&VanTijn;0.011235955056179777;0.011235955056179777
BaasB;0.011508425811755036;0.009453349773941636
GuusMeeuwis;0.015013669161475372;0.02778649217944696
FransBauer;0.0247451201393514;0.03166145806649931
