Artist;Anger;Article;Death;Family;Friends;Home;I;Money;Negate;Negemo;Optim;Other;Othref;Posemo;Posfeel;Preps;Pronoun;Relig;Sad;School;Self;Sexual;Swear;We;You
Jayh;0.0029199922133540976;0.026604373499448445;0.00012977743170462656;0.0014924404646032056;0.004801764973071183;0.0011031081694893258;0.083057556290961;0.0020115501914217122;0.010966192979040943;0.015054182077736681;0.0007786645902277593;0.010187528388813186;0.0683927065083382;0.016092401531373694;0.008046200765686847;0.0581402894036727;0.16157290247226008;0.0006488871585231327;0.0045422101096619285;0.00045422101096619295;0.08584777107261048;0.0028551034975017845;0.0016871066121601453;0.002660437349944845;0.0527545259879307
Volumia!;0.0021468926553672315;0.04745762711864407;0.0005649717514124294;0.001694915254237288;0.0021468926553672315;0.0014689265536723165;0.11073446327683616;0.0010169491525423731;0.01401129943502825;0.01807909604519774;0.004632768361581921;0.008587570621468926;0.0592090395480226;0.03073446327683616;0.01774011299435028;0.0952542372881356;0.18621468926553672;0.00045197740112994344;0.00847457627118644;0.00022598870056497172;0.11502824858757063;0.006214689265536724;0.0005649717514124294;0.0040677966101694924;0.04384180790960452
JanSmit&Broederliefde;0.0033333333333333327;0.021666666666666667;0.0016666666666666668;0.0033333333333333327;0.0033333333333333327;0.0;0.07166666666666667;0.005;0.006666666666666667;0.01;0.0;0.0;0.05833333333333333;0.013333333333333334;0.005;0.055;0.145;0.0016666666666666668;0.005;0.0016666666666666668;0.07666666666666666;0.0016666666666666668;0.0016666666666666668;0.0033333333333333327;0.05333333333333334
PauldeLeeuw;0.0028366676619886533;0.04885786802030457;0.0007838160644968648;0.003023290534487907;0.0014183338309943267;0.0025753956404896985;0.0721484025082114;0.0017169304269931322;0.013436846819946252;0.020117945655419533;0.002762018512988952;0.010488205434458045;0.06255598686174978;0.020453866825918186;0.008472678411466109;0.07808300985368767;0.1489250522544043;0.0017915795759928337;0.00906987160346372;0.0010450880859958196;0.07599283368169603;0.003695132875485219;0.00014929829799940284;0.003396536279486414;0.04322185727082711
Yes-R;0.006880275211008441;0.04640185607424297;0.0008400336013440537;0.006200248009920397;0.0014800592023680947;0.0010800432017280689;0.07232289291571663;0.003080123204928197;0.010400416016640664;0.021480859234369376;0.002920116804672187;0.010040401616064643;0.06916276651066043;0.015200608024320971;0.003480139205568223;0.06912276491059642;0.15584623384935398;0.0008000320012800513;0.006080243209728389;0.0007600304012160486;0.0766030641225649;0.0022400896035841434;0.003480139205568223;0.0038401536061442453;0.0516020640825633
Clouseau;0.0024864916559078085;0.04222254100320375;0.001195428680724908;0.0017692344474728636;0.00023908573614498158;0.002103954478075838;0.08387127623965954;0.003299383158800746;0.012049921101707071;0.02347821928943719;0.0036819203366327173;0.015540572849423803;0.064983503084206;0.022760962081002246;0.008798355090135322;0.07301678381867738;0.16056998039496964;0.003729737483861713;0.011141395304356145;0.0006694400612059485;0.08755319657629226;0.00454262898675465;0.00014345144168698896;0.003299383158800746;0.04260507818103572
DavinaMichelle;0.007389162561576354;0.08620689655172414;0.0;0.0;0.0024630541871921183;0.0024630541871921183;0.054187192118226604;0.0024630541871921183;0.0049261083743842365;0.027093596059113302;0.0;0.0;0.04433497536945813;0.007389162561576354;0.007389162561576354;0.09359605911330048;0.11083743842364532;0.0;0.007389162561576354;0.0;0.061576354679802964;0.007389162561576354;0.0024630541871921183;0.0049261083743842365;0.036945812807881784
ReneFroger;0.0023961661341853034;0.04373003194888179;0.0;0.002595846645367412;0.005990415335463258;0.004592651757188497;0.07108626198083066;0.0017971246006389773;0.02156549520766773;0.02256389776357828;0.004792332268370607;0.0019968051118210857;0.06230031948881789;0.03154952076677316;0.021166134185303515;0.07967252396166134;0.150758785942492;0.0009984025559105429;0.01597444089456869;0.0;0.07488019169329073;0.007787539936102236;0.00019968051118210864;0.0033945686900958465;0.05171725239616613
Isookschitterend!;0.001669449081803005;0.07429048414023373;0.0;0.001669449081803005;0.0;0.0041736227045075115;0.0676126878130217;0.0;0.01335559265442404;0.015025041736227047;0.001669449081803005;0.005843071786310518;0.07679465776293823;0.02086811352253756;0.007512520868113524;0.07762938230383973;0.1636060100166945;0.0008347245409015025;0.009181969949916527;0.0008347245409015025;0.06844741235392321;0.0025041736227045075;0.0;0.0008347245409015025;0.051752921535893164
AliB;0.005151983513652756;0.038478876867594033;0.0005151983513652757;0.003670788253477589;0.0007405976300875837;0.0015133951571354972;0.06874678001030397;0.004379185986604843;0.009498969603297271;0.016550747037609483;0.0023183925811437398;0.011946161772282329;0.05956980937661;0.013491756826378156;0.0029945904173106644;0.07541215868109223;0.13958655332302936;0.000708397733127254;0.004507985574446162;0.0009337970118495619;0.07183797011849563;0.001062596599690881;0.0011269963936115404;0.002865790829469345;0.040346470891293146
CorryKonings;0.002218770800976259;0.031284668293765264;7.395902669920864e-05;0.004215664521854893;0.001848975667480216;0.001848975667480216;0.07736114192737223;0.0017010576140817984;0.014569928259744102;0.027956512092300864;0.0041417054951556845;0.0069521485097256116;0.06833814067006877;0.027290880852007992;0.015235559500036982;0.08083721618223504;0.15620146438872864;0.0008875083203905037;0.017010576140817985;0.0003697951334960432;0.0813549293691295;0.006434435322831151;0.0;0.0031802381480659715;0.05546927002440648
