	Achieve	Affect	Anger	Anx	Article	Assent	Body	Cause	Certain	Cogmech	Comm	Death	Discrep	Down	Eating	Excl	Family	Feel	Fillers	Friends	Future	Groom	Hear	Home	Humans	I	Incl	Inhib	Insight	Job	Leisure	Metaph	Money	Motion	Music	Negate	Negemo	Nonfl	Number	Occup	Optim	Other	Othref	Past	Physcal	Posemo	Posfeel	Preps	Present	Pronoun	Relig	Sad	School	See	Self	Senses	Sexual	Sleep	Social	Space	Sports	Swear	TV	Tentat	Time	Up	We	You
Lyrics_Jayh.txt	0.0005839984426708196	0.031535915904224256	0.0029199922133540976	0.000908442021932386	0.026604373499448445	0.006164428005969762	0.005839984426708195	0.004087989098695737	0.013431964181428849	0.056777626370774124	0.009992862241256246	0.00012977743170462656	0.02803192524819934	0.0003893322951138797	0.0019466614755693985	0.0380896762053079	0.0014924404646032056	0.003114658360911038	0.0	0.004801764973071183	0.01284796573875803	0.0007137758743754461	0.010641749399779379	0.0011031081694893258	0.007072870027902148	0.083057556290961	0.048471870741678025	0.0005839984426708196	0.019661280903250925	0.0006488871585231328	0.003244435792615664	0.0007786645902277594	0.002011550191421712	0.018168840438647717	0.0008435533060800727	0.010966192979040945	0.015054182077736681	0.0003244435792615664	0.002465771202387905	0.0016871066121601453	0.0007786645902277594	0.010187528388813186	0.0683927065083382	0.011160859126597885	0.011290636558302512	0.016092401531373694	0.008046200765686847	0.058140289403672704	0.15300759197975472	0.16157290247226008	0.0006488871585231328	0.004542210109661929	0.000454221010966193	0.005710206995003569	0.08584777107261048	0.01972616961910324	0.0028551034975017845	0.0009733307377846992	0.1016157290247226	0.012977743170462656	0.0003893322951138797	0.0016871066121601453	0.0002595548634092531	0.006683537732788268	0.03328791123223671	0.009343975082733113	0.0026604373499448447	0.0527545259879307
Lyrics_Volumia!.txt	0.0023728813559322033	0.04926553672316384	0.0021468926553672315	0.0014689265536723163	0.04745762711864407	0.001016949152542373	0.01401129943502825	0.0062146892655367235	0.015819209039548022	0.06169491525423729	0.00983050847457627	0.0005649717514124294	0.02655367231638418	0.0014689265536723163	0.0021468926553672315	0.02824858757062147	0.001694915254237288	0.00711864406779661	0.0	0.0021468926553672315	0.01423728813559322	0.00022598870056497175	0.011073446327683615	0.0014689265536723163	0.000903954802259887	0.11073446327683616	0.061468926553672316	0.00011299435028248587	0.025310734463276835	0.0013559322033898306	0.0039548022598870055	0.001016949152542373	0.001016949152542373	0.032994350282485874	0.0011299435028248588	0.01401129943502825	0.01807909604519774	0.00011299435028248587	0.002033898305084746	0.0039548022598870055	0.004632768361581921	0.008587570621468926	0.0592090395480226	0.025084745762711864	0.02666666666666667	0.030734463276836158	0.01774011299435028	0.09525423728813559	0.17581920903954804	0.18621468926553672	0.0004519774011299435	0.00847457627118644	0.00022598870056497175	0.01096045197740113	0.11502824858757062	0.029717514124293784	0.0062146892655367235	0.005084745762711864	0.09016949152542372	0.03401129943502825	0.0007909604519774011	0.0005649717514124294	0.0	0.007909604519774011	0.06836158192090395	0.006327683615819209	0.004067796610169492	0.04384180790960452
Lyrics_JanSmit&Broederliefde.txt	0.0	0.023333333333333334	0.0033333333333333335	0.0016666666666666668	0.021666666666666667	0.01	0.0033333333333333335	0.005	0.016666666666666666	0.041666666666666664	0.0016666666666666668	0.0016666666666666668	0.02666666666666667	0.0	0.0	0.03333333333333333	0.0033333333333333335	0.005	0.0	0.0033333333333333335	0.01	0.0	0.0016666666666666668	0.0	0.005	0.07166666666666667	0.075	0.0	0.011666666666666667	0.0	0.0033333333333333335	0.0033333333333333335	0.005	0.12166666666666667	0.0016666666666666668	0.006666666666666667	0.01	0.0	0.0	0.0016666666666666668	0.0	0.0	0.058333333333333334	0.005	0.006666666666666667	0.013333333333333334	0.005	0.055	0.23166666666666666	0.145	0.0016666666666666668	0.005	0.0016666666666666668	0.008333333333333333	0.07666666666666666	0.015	0.0016666666666666668	0.0016666666666666668	0.07666666666666666	0.02	0.0016666666666666668	0.0016666666666666668	0.0	0.0016666666666666668	0.025	0.011666666666666667	0.0033333333333333335	0.05333333333333334
Lyrics_PauldeLeeuw.txt	0.0012317109584950733	0.04083308450283667	0.0028366676619886533	0.0021648253209913407	0.04885786802030457	0.003359211704986563	0.009331143624962675	0.005262765004478949	0.016161540758435355	0.060951030158256196	0.012055837563451776	0.0007838160644968648	0.029486413854882054	0.0006345177664974619	0.002202149895491191	0.04258733950432965	0.0030232905344879067	0.004814870110480741	7.464914899970141e-05	0.0014183338309943267	0.013100925649447596	0.000373245744998507	0.011645267243953419	0.0025753956404896985	0.004031054045983876	0.0721484025082114	0.06722155867423112	0.0009331143624962676	0.020416542251418333	0.0008584652134965661	0.009741713944461033	0.0025753956404896985	0.0017169304269931322	0.026089877575395642	0.005785309047476859	0.013436846819946252	0.02011794565541953	0.00014929829799940282	0.005188115855479247	0.003135264257987459	0.002762018512988952	0.010488205434458046	0.06255598686174978	0.027918781725888325	0.017243953418931025	0.020453866825918186	0.008472678411466109	0.07808300985368767	0.15373992236488504	0.1489250522544043	0.0017915795759928337	0.00906987160346372	0.0010450880859958196	0.008547327560465811	0.07599283368169603	0.025940579277396236	0.0036951328754852193	0.003247237981487011	0.09110928635413557	0.023178560764407285	0.001007763511495969	0.00014929829799940282	0.00014929829799940282	0.014519259480441924	0.06113765303075545	0.008957897879964169	0.003396536279486414	0.04322185727082711
Lyrics_Yes-R.txt	0.002280091203648146	0.03720148805952238	0.006880275211008441	0.0019600784031361253	0.04640185607424297	0.004080163206528261	0.00672026881075243	0.007920316812672508	0.012440497619904796	0.06420256810272411	0.013840553622144886	0.0008400336013440538	0.02688107524300972	0.0008800352014080563	0.0011200448017920717	0.043081723268930755	0.006200248009920397	0.004880195207808313	0.0004800192007680307	0.0014800592023680947	0.0069602784111364455	0.00012000480019200768	0.011920476819072764	0.001080043201728069	0.005920236809472379	0.07232289291571663	0.06640265610624425	0.0012000480019200767	0.023200928037121486	0.0026401056042241688	0.005560222408896356	0.001640065602624105	0.003080123204928197	0.022280891235649428	0.0017600704028161126	0.010400416016640665	0.021480859234369376	4.000160006400256e-05	0.0028001120044801792	0.005680227209088363	0.002920116804672187	0.010040401616064643	0.06916276651066043	0.020840833633345334	0.011200448017920717	0.015200608024320973	0.0034801392055682227	0.06912276491059642	0.16072642905716228	0.15584623384935398	0.0008000320012800512	0.006080243209728389	0.0007600304012160486	0.007760310412416497	0.0766030641225649	0.02480099203968159	0.0022400896035841434	0.002000080003200128	0.1016840673626945	0.01732069282771311	0.0012000480019200767	0.0034801392055682227	0.00024000960038401536	0.011320452818112725	0.044641785671426855	0.0093603744149766	0.0038401536061442457	0.0516020640825633
Lyrics_Clouseau.txt	0.0029168459809687753	0.046717352842729404	0.0024864916559078085	0.002247405919762827	0.04222254100320375	0.0037297374838617127	0.012480275426768038	0.0029646631281977716	0.014345144168698896	0.06254482857552718	0.008846172237364319	0.001195428680724908	0.0324678429684885	0.00014345144168698896	0.0020083201836178454	0.03662793477741118	0.0017692344474728638	0.007076937789891455	0.0	0.00023908573614498158	0.01597092717448477	0.00033472003060297425	0.008224549323387367	0.002103954478075838	0.0032037488643427534	0.08387127623965954	0.055754793669009706	0.0008607086501219337	0.01869650456653756	0.0010997943862669152	0.010567589537608186	0.004925166164586621	0.003299383158800746	0.029790082723664707	0.0056902405202505614	0.012049921101707071	0.02347821928943719	0.00019126858891598529	0.0034428346004877347	0.004686080428441639	0.0036819203366327165	0.015540572849423803	0.064983503084206	0.018457418830392577	0.02156553340027734	0.022760962081002246	0.008798355090135322	0.07301678381867738	0.1611437861617176	0.16056998039496964	0.0037297374838617127	0.011141395304356143	0.0006694400612059485	0.010089418065318222	0.08755319657629226	0.025916893798116004	0.00454262898675465	0.003777554631090709	0.09333907139100081	0.021756801989193324	0.001673600153014871	0.00014345144168698896	0.00023908573614498158	0.014584229904843878	0.055754793669009706	0.009228709415196289	0.003299383158800746	0.04260507818103572
Lyrics_DavinaMichelle.txt	0.0	0.01443298969072165	0.003092783505154639	0.0	0.03814432989690722	0.0	0.005154639175257732	0.008247422680412371	0.0010309278350515464	0.030927835051546393	0.007216494845360825	0.0	0.015463917525773196	0.0	0.007216494845360825	0.013402061855670102	0.0	0.003092783505154639	0.0	0.0010309278350515464	0.007216494845360825	0.0	0.006185567010309278	0.0010309278350515464	0.0010309278350515464	0.03814432989690722	0.03608247422680412	0.0	0.005154639175257732	0.0	0.002061855670103093	0.0	0.0010309278350515464	0.009278350515463918	0.0010309278350515464	0.002061855670103093	0.01134020618556701	0.0	0.003092783505154639	0.0	0.0	0.0	0.0288659793814433	0.01958762886597938	0.015463917525773196	0.003092783505154639	0.003092783505154639	0.04329896907216495	0.058762886597938144	0.07216494845360824	0.0	0.003092783505154639	0.0	0.005154639175257732	0.041237113402061855	0.01443298969072165	0.003092783505154639	0.0010309278350515464	0.041237113402061855	0.01134020618556701	0.0	0.0010309278350515464	0.0	0.002061855670103093	0.03608247422680412	0.004123711340206186	0.002061855670103093	0.02577319587628866
Lyrics_ReneFroger.txt	0.0019842582181361203	0.019710298300152126	0.0013228388120907467	6.614194060453734e-05	0.014485084992393676	0.0007937032872544481	0.0060189165950128975	0.001190554930881672	0.008730736159798929	0.018652027250479528	0.003571664792645016	0.0	0.009259871684635226	0.0013228388120907467	0.0011244129902771348	0.01838745948806138	0.0017196904557179708	0.0030425292678087175	0.0	0.0019842582181361203	0.004696077782922151	0.0	0.0026456776241814933	0.0015874065745088962	0.0031748131490177923	0.0357827898670547	0.027713473113301145	6.614194060453734e-05	0.004365368079899464	0.0008598452278589854	0.003505522852040479	0.00039685164362722404	0.000595277465440836	0.008995303922217078	0.0006614194060453733	0.007143329585290032	0.008069316753753554	0.00019842582181361202	0.0016535485151134334	0.003108671208413255	0.0015874065745088962	0.0006614194060453733	0.020768569349824725	0.012831536477280244	0.010847278259144123	0.011574839605794035	0.0070771876446854955	0.03750248032277267	0.06852305046630068	0.06230570804947417	0.00039685164362722404	0.005291355248362987	0.00026456776241814934	0.0042330841986903895	0.037039486738540905	0.010384284674912363	0.0025795356835769563	0.001388980752695284	0.03842846749123619	0.008333884516171704	0.0006614194060453733	6.614194060453734e-05	0.00019842582181361202	0.009987433031285138	0.030689860440505326	0.0015212646339043587	0.0011244129902771348	0.017263046497784245
Lyrics_Isookschitterend!.txt	0.00333889816360601	0.037562604340567615	0.001669449081803005	0.0025041736227045075	0.07429048414023372	0.0	0.007512520868113523	0.0008347245409015025	0.02337228714524207	0.09599332220367279	0.018363939899833055	0.0	0.03171953255425709	0.0	0.00333889816360601	0.045075125208681135	0.001669449081803005	0.005008347245409015	0.0	0.0	0.008347245409015025	0.0	0.017529215358931552	0.004173622704507512	0.00667779632721202	0.0676126878130217	0.05008347245409015	0.0008347245409015025	0.03672787979966611	0.0008347245409015025	0.008347245409015025	0.0008347245409015025	0.0	0.027545909849749584	0.0	0.01335559265442404	0.015025041736227046	0.0	0.00333889816360601	0.005008347245409015	0.001669449081803005	0.005843071786310518	0.07679465776293823	0.028380634390651086	0.015025041736227046	0.020868113522537562	0.007512520868113523	0.07762938230383973	0.19616026711185308	0.1636060100166945	0.0008347245409015025	0.009181969949916527	0.0008347245409015025	0.018363939899833055	0.06844741235392321	0.041736227045075125	0.0025041736227045075	0.00333889816360601	0.11769616026711185	0.01669449081803005	0.0	0.0	0.0	0.034223706176961605	0.0667779632721202	0.011686143572621035	0.0008347245409015025	0.05175292153589316
Lyrics_AliB.txt	0.0016421947449768162	0.030267903142709943	0.005151983513652756	0.001287995878413189	0.03847887686759403	0.002575991756826378	0.0071483771251932	0.00589258114374034	0.007888974755280782	0.05435342606903658	0.013813755795981453	0.0005151983513652757	0.02373132405976301	0.0006117980422462648	0.002736991241628027	0.03889747552807831	0.0036707882534775887	0.004346986089644513	6.439979392065946e-05	0.0007405976300875837	0.0077601751674394644	0.0008049974240082431	0.011624162802679031	0.0015133951571354972	0.005506182380216384	0.06874678001030397	0.058797011849562084	0.0008693972179289026	0.019255538382277178	0.0025437918598660483	0.006439979392065945	0.0012235960844925297	0.004379185986604843	0.028529108706852137	0.0018031942297784646	0.00949896960329727	0.01655074703760948	3.219989696032973e-05	0.0026403915507470376	0.004990984028851108	0.00231839258114374	0.011946161772282329	0.059569809376609995	0.019674137042761462	0.01165636269963936	0.013491756826378156	0.0029945904173106644	0.07541215868109222	0.16418727460072127	0.13958655332302936	0.000708397733127254	0.004507985574446162	0.0009337970118495621	0.00933797011849562	0.07183797011849562	0.025631117980422464	0.001062596599690881	0.0018353941267387943	0.08854971664090674	0.01770994332818135	0.0012235960844925297	0.0011269963936115404	0.000354198866563627	0.013169757856774858	0.03535548686244204	0.010786965481710459	0.0028657908294693456	0.040346470891293146
