Artist;Article;I;Other;Othref;Preps;Pronoun;Self;We;You
Jayh;0.026604373499448445;0.083057556290961;0.010187528388813186;0.0683927065083382;0.0581402894036727;0.16157290247226008;0.08584777107261048;0.002660437349944845;0.0527545259879307
Volumia!;0.04745762711864407;0.11073446327683616;0.008587570621468926;0.0592090395480226;0.0952542372881356;0.18621468926553672;0.11502824858757063;0.0040677966101694924;0.04384180790960452
JanSmit&Broederliefde;0.021666666666666667;0.07166666666666667;0.0;0.05833333333333333;0.055;0.145;0.07666666666666666;0.0033333333333333327;0.05333333333333334
PauldeLeeuw;0.04885786802030457;0.0721484025082114;0.010488205434458045;0.06255598686174978;0.07808300985368767;0.1489250522544043;0.07599283368169603;0.003396536279486414;0.04322185727082711
Yes-R;0.04640185607424297;0.07232289291571663;0.010040401616064643;0.06916276651066043;0.06912276491059642;0.15584623384935398;0.0766030641225649;0.0038401536061442453;0.0516020640825633
Clouseau;0.04222254100320375;0.08387127623965954;0.015540572849423803;0.064983503084206;0.07301678381867738;0.16056998039496964;0.08755319657629226;0.003299383158800746;0.04260507818103572
DavinaMichelle;0.08620689655172414;0.054187192118226604;0.0;0.04433497536945813;0.09359605911330048;0.11083743842364532;0.061576354679802964;0.0049261083743842365;0.036945812807881784
ReneFroger;0.04373003194888179;0.07108626198083066;0.0019968051118210857;0.06230031948881789;0.07967252396166134;0.150758785942492;0.07488019169329073;0.0033945686900958465;0.05171725239616613
Isookschitterend!;0.07429048414023373;0.0676126878130217;0.005843071786310518;0.07679465776293823;0.07762938230383973;0.1636060100166945;0.06844741235392321;0.0008347245409015025;0.051752921535893164
AliB;0.038478876867594033;0.06874678001030397;0.011946161772282329;0.05956980937661;0.07541215868109223;0.13958655332302936;0.07183797011849563;0.002865790829469345;0.040346470891293146
CorryKonings;0.031284668293765264;0.07736114192737223;0.0069521485097256116;0.06833814067006877;0.08083721618223504;0.15620146438872864;0.0813549293691295;0.0031802381480659715;0.05546927002440648
Frenna;0.02429087158329036;0.07802991232594121;0.008457968024755028;0.051985559566787014;0.06400206291903042;0.13579164517792675;0.08060856111397627;0.002475502836513667;0.04017534811758639
KennyB;0.02279839070183281;0.043659663239457615;0.012367754433020416;0.042914617791685296;0.05602741767247802;0.09327969006109373;0.04589479958277455;0.002235136343316942;0.027417672478021158
DeSjonnies;0.061575757575757575;0.05551515151515152;0.008;0.03684848484848485;0.09309090909090907;0.09915151515151516;0.05915151515151515;0.003151515151515152;0.019151515151515152
PaterMoeskroen;0.057342161267439115;0.044336722629463234;0.015074485694017497;0.0455781508630882;0.07897848191061717;0.1018562307874202;0.04871127926223694;0.0027193189879404114;0.0194490423267912
Sef;0.058364369164838524;0.06157849089332178;0.007040457119534719;0.04683434518647008;0.0653027906739452;0.12024896688944442;0.06234375797153206;0.00045916024692617717;0.03688587316973624
StefBos;0.0797519878833775;0.06914994320333206;0.02054146156758804;0.051732298371828855;0.08027262400605831;0.136501325255585;0.0732203710715638;0.003786444528587656;0.021772056039379026
LangeFrans;0.06080947680157945;0.060414610069101676;0.01031589338598223;0.053010858835143136;0.07956564659427444;0.12657946692991115;0.06315399802566632;0.00234452122408687;0.0361796643632774
DeKraaien;0.03212134731206781;0.03970555431630605;0.004795895605621236;0.08732991300468436;0.08119562792772697;0.14019629712246265;0.042939995538701765;0.003122908766451037;0.07718045951371849
WillekeAlberti;0.036616161616161616;0.06881313131313131;0.0037878787878787884;0.04166666666666666;0.08270202020202021;0.1268939393939394;0.07512626262626262;0.006313131313131313;0.02525252525252525
Extince;0.04768853220136632;0.0579027658022153;0.01107647409962194;0.053127279962857335;0.07448431385554155;0.1223718246335478;0.059494594415334626;0.0015255024209060155;0.03807123433043709
DoeMaar;0.04076190476190476;0.06198639455782313;0.013931972789115649;0.05616326530612245;0.07401360544217687;0.13708843537414964;0.06644897959183674;0.004299319727891157;0.03374149659863945
RobDeNijs;0.05697849609642515;0.0701730356572159;0.01734922156782176;0.05958087933159841;0.08546774414463773;0.1411678765465918;0.07327763320093138;0.002602383235173264;0.033785326211021316
MarcoBorsato;0.054925893635571064;0.08432626174561657;0.007507507507507507;0.07749685169040008;0.08723239368400659;0.17616003099874067;0.0877651845393781;0.0032936161968420037;0.06156156156156156
Nick&Simon;0.043310385021673406;0.06334462535970567;0.008377955050449859;0.0514333588314574;0.07674935344042545;0.12843769351254872;0.06687793683750409;0.003278330237132554;0.03835646377445088
KraantjePappie;0.04584701111693471;0.04935036274861383;0.009461807950125514;0.051970980110893496;0.07139113403768171;0.11321067005048135;0.05161236931394996;0.002124079335742462;0.03842652616479545
HetGoedeDoel;0.04939430932481923;0.07503051929758663;0.015870034745046484;0.052681002911071466;0.0828246783735562;0.14198516292609634;0.07531223589069397;0.00028171659310733397;0.02882899802798385
Nielson;0.05300472653612424;0.07515192437542201;0.01262660364618501;0.06076975016880486;0.08082376772451047;0.14841323430114786;0.07954085077650236;0.0033085752869682645;0.039365293720459146
Hakkûhbar;0.028923660502607876;0.05547652916073969;0.006638217164532954;0.026552868658131817;0.09151256519677572;0.09009009009009007;0.0564248458985301;0.0009483167377904221;0.013750592697961118
Raymtzer;0.04132231404958678;0.0743801652892562;0.019834710743801654;0.06942148760330577;0.07603305785123966;0.17355371900826447;0.08429752066115702;0.009917355371900829;0.03636363636363636
DJMadman;0.02247191011235955;0.08667736757624397;0.009630818619582664;0.12038523274478333;0.04654895666131621;0.21348314606741567;0.08667736757624397;0.0;0.11075441412520064
